Rank,Country,PowerIndex
1,United States,0.0744
2,Russia,0.0788
3,China,0.0788
4,India,0.1184
5,South Korea,0.1656
6,United Kingdom,0.1785
7,France,0.1878
8,Japan,0.1839
9,Turkiye,0.1902
10,Italy,0.2164
11,Brazil,0.2415
12,Pakistan,0.2513
13,Indonesia,0.2557
14,Germany,0.2601
15,Israel,0.2661
16,Iran,0.3048
17,Spain,0.3242
18,Australia,0.3298
19,Egypt,0.3427
20,Ukraine,0.3755
21,Poland,0.3776
22,Taiwan,0.3988
23,Vietnam,0.4024
24,Saudi Arabia,0.4201
25,Thailand,0.4536
26,Algeria,0.3589
27,Sweden,0.4835
28,Canada,0.5179
29,Singapore,0.5271
30,Greece,0.5337
31,Nigeria,0.5771
32,Mexico,0.5965
33,Argentina,0.6013
34,North Korea,0.6016
35,Bangladesh,0.6062
36,Netherlands,0.6412
37,Myanmar,0.6735
38,Norway,0.6811
39,Portugal,0.6856
40,South Africa,0.6889
41,Philippines,0.6987
42,Malaysia,0.7429
43,Iraq,0.7738
44,Switzerland,0.7869
45,Denmark,0.8109
46,Colombia,0.8353
47,Chile,0.8361
48,Finland,0.8437
49,Peru,0.8588
50,Venezuela,0.8882
51,Romania,0.8984
52,Ethiopia,0.9305
53,Czechia,0.9994
54,United Arab Emirates,1.0186
55,Hungary,1.0259
56,Angola,1.0961
57,Kazakhstan,1.1016
58,Uzbekistan,1.1121
59,Morocco,1.1273
60,Azerbaijan,1.2531
61,Belgium,1.2564
62,Bulgaria,1.2563
63,Serbia,1.2576
64,Syria,1.2771
65,Ecuador,1.3021
66,Democratic Republic of the Congo,1.3111
67,Cuba,1.3286
68,Austria,1.3704
69,Sri Lanka,1.3941
70,Belarus,1.3954
71,Slovakia,1.3978
72,Qatar,1.4307
73,Sudan,1.4756
74,Croatia,1.5074
75,Jordan,1.6139
76,Libya,1.4449
77,Turkmenistan,1.6512
78,Albania,1.6815
79,Kuwait,1.6982
80,Bolivia,1.7221
81,Bahrain,1.7448
82,Oman,1.8047
83,Kenya,1.8135
84,Chad,1.8712
85,Yemen,1.8901
86,New Zealand,1.9039
87,Paraguay,1.9044
88,Lithuania,1.9075
89,Mozambique,1.9265
90,Tunisia,1.9538
91,Armenia,2.0373
92,Tanzania,2.0416
93,Cameroon,2.0501
94,Georgia,2.0695
95,Cambodia,2.0752
96,Slovenia,2.1016
97,Ireland,2.1103
98,Mongolia,2.1135
99,Latvia,2.1246
100,Uruguay,2.1385
101,Honduras,2.1679
102,Ivory Coast,2.1796
103,Guatemala,2.1956
104,Mali,2.2379
105,Kyrgyzstan,2.2543
106,Laos,2.2663
107,Estonia,2.2917
108,Tajikistan,2.3049
109,Zambia,2.3411
110,Ghana,2.3775
111,Zimbabwe,2.3863
112,North Macedonia,2.4042
113,South Sudan,2.4321
114,Uganda,2.4767
115,Lebanon,2.5981
116,Namibia,2.6384
117,Luxembourg,2.6415
118,Afghanistan,2.6442
119,Niger,2.6689
120,Eritrea,2.6985
121,Republic of the Congo,2.7282
122,Botswana,2.7509
123,Mauritania,2.7977
124,Dominican Republic,2.8023
125,Senegal,2.8116
126,Nepal,2.8915
127,Montenegro,2.9216
128,El Salvador,2.9371
129,Burkina Faso,2.9734
130,Madagascar,3.0609
131,Nicaragua,3.0966
132,Bosnia and Herzegovina,3.0799
133,Gabon,3.1805
134,Moldova,3.2555
135,Iceland,3.5181
136,Panama,3.6575
137,Beliz,3.7191
138,Liberia,3.7781
139,Suriname,3.9127
140,Sierra Leone,3.9701
141,Kosovo,4.9141
142,Somalia,4.2037
143,Central African Republic,4.2347
144,Benin,4.3156
145,Bhutan,6.3934
